depth,deviation,backstep,periods,median_of_median_swing_pips,median_of_median_bars,median_efficiency,mean_efficiency,mean_pivots,min_pivots,efficiency_std,efficiency_min,efficiency_max,efficiency_stability
350,25,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,25,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,50,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,50,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,75,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,75,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,100,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,100,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,125,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,125,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,150,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,150,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,175,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,175,40,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
350,200,20,13,37.00000000000036,398.0,0.12369597615498204,0.1441406440050791,56.76923076923077,9,0.011965901086539577,0.08830624992544422,0.13012410680706685,0.6786309784733019
