model,roundtrip_cost_pips,trades,wins_net,losses_net,win_rate_net_pct,gross_total_R,cost_total_R,net_total_R,gross_expectancy_R,net_expectancy_R,net_median_R,net_std_R,net_profit_factor,net_max_drawdown_R,trade_sharpe,trades_per_year,avg_hold_bars,median_hold_bars,start_time,end_time,avg_cost_pips,avg_cost_R
A_Breakout,0.0,162,83,79,51.23456790123457,45.49999999999247,0.0,45.49999999999247,0.2808641975308177,0.2808641975308177,1.4999999999984013,1.253493699023878,1.5759493670885476,-7.999999999997783,2.851883195569193,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,0.0,0.0
A_Breakout,0.5,162,81,81,50.0,45.49999999999247,72.88944255950072,-27.389442559508254,0.2808641975308177,-0.16907063308338427,-0.1353383458669748,1.2831551458459767,0.7621615528659755,-28.008245357446803,-1.6770519509790058,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,0.5,0.449934830614202
A_Breakout,1.0,162,74,88,45.67901234567901,45.49999999999247,145.77888511900144,-100.27888511900898,0.2808641975308177,-0.6190054636975862,-1.2677200592102684,1.3792546272048145,0.3596267918513961,-99.04095408452675,-5.712254388781256,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,1.0,0.899869661228404
A_Breakout,1.5,162,61,101,37.65432098765432,45.49999999999247,218.66832767850218,-173.16832767850968,0.2808641975308177,-1.0689402943117883,-1.4015800888154166,1.5293184915370677,0.15654681521780583,-171.06143112678578,-8.896373665482225,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,1.5,1.349804491842606
A_Breakout,2.0,162,38,124,23.456790123456788,45.49999999999247,291.5577702380029,-246.05777023801045,0.2808641975308177,-1.5188751249259904,-1.7516900413682643,1.7192737693529119,0.06615490091668058,-243.44857483571147,-11.244354770950336,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,2.0,1.799739322456808
A_Breakout,2.5,162,25,137,15.432098765432098,45.49999999999247,364.44721279750365,-318.94721279751116,0.2808641975308177,-1.9688099555401923,-1.991573033708101,1.9374222727503585,0.02983841202487782,-315.9357185446372,-12.934123871801843,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,2.5,2.2496741530710103
B_Break_Retest,0.0,158,80,78,50.63291139240506,41.99999999999906,0.0,41.99999999999906,0.26582278481012067,0.26582278481012067,1.4999999999988987,1.2538741061714713,1.5384615384615064,-7.000000000000149,2.6648134586177132,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,0.0,0.0
B_Break_Retest,0.5,158,79,79,50.0,41.99999999999906,67.02125309338862,-25.021253093389564,0.26582278481012067,-0.15836236135056686,0.21794871795111015,1.3050484284631025,0.7793203180260638,-31.650677922062076,-1.5252951326176307,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,0.5,0.4241851461606875
B_Break_Retest,1.0,158,77,81,48.734177215189874,41.99999999999906,134.04250618677725,-92.04250618677818,0.26582278481012067,-0.5825475075112543,-0.6094369547971635,1.4030429006235612,0.3876455253322251,-90.83518911360537,-5.219019761843155,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,1.0,0.848370292321375
B_Break_Retest,1.5,158,62,96,39.24050632911392,41.99999999999906,201.06375928016587,-159.06375928016683,0.26582278481012067,-1.006732653671942,-1.039155432195975,1.5389393149815211,0.1730935285246101,-157.00278367040835,-8.22282796415732,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,1.5,1.2725554384820625
B_Break_Retest,2.0,158,42,116,26.582278481012654,41.99999999999906,268.0850123735545,-226.08501237355546,0.26582278481012067,-1.4309177998326295,-1.446633174686268,1.7036918451559444,0.07258787648996368,-223.37769530038312,-10.557283522142974,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,2.0,1.69674058464275
